number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_for_bin,params_subsample_freq,state
24,0.6866908337648887,2021-08-21 13:22:37.583284,2021-08-21 13:24:22.982433,0 days 00:01:45.399149,0.4032102419071486,3,1,16,1.876508100880872,2.57961777541471e-07,0.9970020263332908,3521,5,COMPLETE
25,0.6606680476437079,2021-08-21 13:24:22.983540,2021-08-21 13:26:20.616646,0 days 00:01:57.633106,0.4532786174237391,2,4,18,0.04232286709084094,3.891717099927864e-08,0.926061744159215,4776,5,COMPLETE
26,0.6904453650958053,2021-08-21 13:26:20.618165,2021-08-21 13:28:28.288370,0 days 00:02:07.670205,0.5763919659783642,3,1,24,2.3502040014827568,4.013944810037594e-05,0.9269938790851082,3594,7,COMPLETE
27,0.6702485758674261,2021-08-21 13:28:28.289975,2021-08-21 13:30:11.305223,0 days 00:01:43.015248,0.5747655457949122,3,3,24,0.14894337258684623,9.612367994539857e-05,0.9394977782352222,4377,7,COMPLETE
28,0.6631279129984464,2021-08-21 13:30:11.306590,2021-08-21 13:31:37.576493,0 days 00:01:26.269903,0.6376522399437231,2,6,29,0.013388168457530393,1.595084101987367e-05,0.8600630423524708,3842,7,COMPLETE
29,0.6922578974624547,2021-08-21 13:31:37.577767,2021-08-21 13:33:24.557405,0 days 00:01:46.979638,0.4838630308466487,3,10,27,3.128534280808201,0.0010316655615661221,0.9115691400236661,2031,10,COMPLETE
30,0.6593733816675298,2021-08-21 13:33:24.559235,2021-08-21 13:35:13.393685,0 days 00:01:48.834450,0.5078366599215511,2,11,23,0.001028848755693742,0.0015215450004431252,0.9166615705529754,1823,10,COMPLETE
31,0.6901864319005697,2021-08-21 13:35:13.395037,2021-08-21 13:36:55.126879,0 days 00:01:41.731842,0.4885992139386145,3,9,29,2.928103507542503,0.023247288859030633,0.8832828442901527,3173,10,COMPLETE
32,0.6856551009839461,2021-08-21 13:36:55.128134,2021-08-21 13:38:38.671620,0 days 00:01:43.543486,0.4750950557812601,3,10,28,3.029690817846494,0.21885948113848674,0.8983467371419618,2141,10,COMPLETE
33,0.6897980321077162,2021-08-21 13:38:38.672912,2021-08-21 13:40:29.993940,0 days 00:01:51.321028,0.5637003353186175,3,5,27,2.83661290662662,0.009280149656668072,0.8694489608497314,1443,9,COMPLETE
34,0.664810978767478,2021-08-21 13:40:29.995598,2021-08-21 13:41:58.672957,0 days 00:01:28.677359,0.624927488873241,2,10,27,0.15303099672140436,0.3145583431581447,0.954172690378331,3122,9,COMPLETE
35,0.6727084412221647,2021-08-21 13:41:58.674518,2021-08-21 13:43:50.748206,0 days 00:01:52.073688,0.5425299066488963,3,3,31,1.9174806165461918e-07,8.349876839804057e-05,0.8912541925908921,5492,8,COMPLETE
36,0.6712843086483687,2021-08-21 13:43:50.749349,2021-08-21 13:46:13.573913,0 days 00:02:22.824564,0.4913945935508345,2,15,26,9.509458558565212,0.0005641886753226621,0.7660966045842561,2792,10,COMPLETE
37,0.67594510616261,2021-08-21 13:46:13.575118,2021-08-21 13:47:48.865433,0 days 00:01:35.290315,0.6119798792109049,3,8,23,0.32374645566174143,3.221407677983777e-05,0.8184290584052547,3319,8,COMPLETE
38,0.6723200414293112,2021-08-21 13:47:48.866929,2021-08-21 13:49:32.779756,0 days 00:01:43.912827,0.5485016891682898,3,12,31,0.06805914628197657,0.13476552651783952,0.9537788636056639,4155,10,COMPLETE
39,0.6768513723459347,2021-08-21 13:49:32.784856,2021-08-21 13:50:52.226292,0 days 00:01:19.441436,0.521086619801873,4,6,20,1.759646258375379e-05,0.006130935409165465,0.7749088139283895,4618,9,COMPLETE
40,0.6701191092698084,2021-08-21 13:50:52.229956,2021-08-21 13:52:11.599662,0 days 00:01:19.369706,0.4638344779139731,3,3,29,1.420615361778761e-08,0.000241330774436297,0.8462812773562068,2279,8,COMPLETE
41,0.6938114966338685,2021-08-21 13:52:11.600800,2021-08-21 13:52:59.016891,0 days 00:00:47.416091,0.6824505799546386,3,5,27,3.0984601260370264,0.02390834603287697,0.8804255735850857,1215,9,COMPLETE
42,0.6768513723459347,2021-08-21 13:52:59.018673,2021-08-21 13:53:43.426494,0 days 00:00:44.407821,0.6517199318767032,2,9,25,2.923349222125872,0.040163151114340725,0.8918551629625515,1137,10,COMPLETE
43,0.6855256343863283,2021-08-21 13:53:43.429512,2021-08-21 13:54:43.583717,0 days 00:01:00.154205,0.6815606472921513,3,5,22,3.774892195604998,0.7413060349434951,0.9644232499947516,1386,9,COMPLETE
44,0.6778871051268772,2021-08-21 13:54:43.584862,2021-08-21 13:55:38.186963,0 days 00:00:54.602101,0.5245380927757402,3,7,27,0.3924930674834498,0.04874257706699318,0.7911776652408591,572,7,COMPLETE
45,0.6885033661315381,2021-08-21 13:55:38.188266,2021-08-21 13:57:02.117973,0 days 00:01:23.929707,0.5974496264485837,4,9,29,5.038634495319162,0.010318938712873517,0.8468621434992019,1615,9,COMPLETE
46,0.6887622993267737,2021-08-21 13:57:02.119483,2021-08-21 13:58:21.373036,0 days 00:01:19.253553,0.486169937462208,3,3,26,1.2779393303568207,1.8490355494946487,0.9262446347197743,858,10,COMPLETE
47,0.6746504401864319,2021-08-21 13:58:21.374886,2021-08-21 13:59:24.025869,0 days 00:01:02.650983,0.7140962397856345,3,6,24,0.10323569847492302,0.07933747216210188,0.878028160552397,3353,6,COMPLETE
